 620 2.2087421e-03 
 621 1.8031667e-03 
 622 1.7785033e-03 
 623 1.6688883e-03 
 624 1.7045132e-03 
 625 1.8716760e-03 
 626 1.9374450e-03 
 627 1.4935043e-03 
 628 1.6908113e-03 
 629 1.6634075e-03 
 630 1.5483118e-03 
 631 1.5236484e-03 
 632 1.5811963e-03 
 633 1.5647540e-03 
 634 1.4962447e-03 
 635 1.6140808e-03 
 636 1.8196089e-03 
 637 1.5072062e-03 
 638 1.5839367e-03 
 639 1.5154273e-03 
 640 1.2167264e-03 
 641 1.2276879e-03 
 642 1.5318695e-03 
 643 1.1208133e-03 
 644 1.1016307e-03 
 645 1.2359091e-03 
 646 1.5044658e-03 
 647 6.7413221e-04 
 648 1.0906692e-03 
 649 9.3720820e-04 
