    620    0.6361674476E-01
    621    0.6206196892E-01
    622    0.6077732789E-01
    623    0.5472630843E-01
    624    0.5156873280E-01
    625    0.4686838733E-01
    626    0.4576383615E-01
    627    0.4268129797E-01
    628    0.4280736087E-01
    629    0.4046018963E-01
    630    0.3927759952E-01
    631    0.3625509129E-01
    632    0.3599996398E-01
    633    0.3371582420E-01
    634    0.3271932694E-01
    635    0.3012002989E-01
    636    0.2801597997E-01
    637    0.2637115921E-01
    638    0.2603799296E-01
    639    0.2315055213E-01
    640    0.2344469890E-01
    641    0.2008602293E-01
    642    0.1992394205E-01
    643    0.1925460805E-01
    644    0.1688042333E-01
    645    0.1652924809E-01
    646    0.1614505638E-01
    647    0.1567081974E-01
    648    0.1431414276E-01
    649    0.1475536293E-01
